ix,race_id,driver_id,lap,position,time,milliseconds
400657,964,8,26,6,1:40.267,100267
400658,964,8,27,8,1:54.282,114282
400659,964,8,28,7,1:36.084,96084
400660,964,8,29,6,1:36.018,96018
400661,964,8,30,6,1:36.160,96160
400662,964,8,31,6,1:36.442,96442
400663,964,8,32,6,1:36.113,96113
400664,964,8,33,5,1:35.990,95990
400665,964,8,34,5,1:36.413,96413
400666,964,8,35,5,1:36.666,96666
400667,964,8,36,5,1:36.632,96632
400668,964,8,37,5,1:36.465,96465
400669,964,8,38,5,1:36.609,96609
400670,964,8,39,5,1:37.005,97005
400671,964,8,40,5,1:37.179,97179
400672,964,8,41,5,1:37.498,97498
400673,964,8,42,5,1:36.565,96565
400674,964,8,43,5,1:36.701,96701
400675,964,8,44,5,1:37.097,97097
400676,964,8,45,5,1:37.856,97856
400677,964,8,46,5,1:38.056,98056
400678,964,8,47,5,1:38.430,98430
400679,964,8,48,5,1:38.710,98710
400680,964,8,49,5,1:38.195,98195
400681,964,8,50,5,1:37.761,97761
400682,964,8,51,5,1:38.669,98669
400683,964,8,52,5,1:37.891,97891
400684,964,8,53,5,1:38.788,98788
400685,964,1,1,8,1:43.486,103486
400686,964,1,2,8,1:39.254,99254
400687,964,1,3,8,1:39.103,99103
400688,964,1,4,8,1:39.225,99225
400689,964,1,5,8,1:39.219,99219
